Quantity,Price,Side
0.0001,30387.899999999998,SELL,1688651904724
0.0001,30282.5,BUY,1688651905090
0.0001,30336.09,SELL,1688651965436
0.0001,30353.31,BUY,1688651965934
0.0001,30320.999999999996,SELL,1688652026315
0.0001,30227.64,BUY,1688652026568
0.0001,30222.94,BUY,1688652686177
0.0001,30265.8,SELL,1688652686775
0.0001,30266.22,SELL,1688652747618
0.0001,30204.4,BUY,1688652748014
0.0001,30219.999999999996,BUY,1688653407349
0.0001,30252.09,SELL,1688653407925
0.0001,30221.04,BUY,1688653468372
0.0001,30265.31,SELL,1688653468746
0.0001,30214.489,BUY,1688653529075
0.0001,30219.989999999998,BUY,1688653589911
0.0001,30280.57,SELL,1688653590268
0.0001,30200.0,SELL,1688653650749
0.0001,30159.03,BUY,1688653651138
0.0001,30147.219999999998,SELL,1688653711673
0.0001,30066.38,BUY,1688653712073
0.0001,30114.99,BUY,1688653772481
0.0001,30196.03,SELL,1688653772851
0.0001,30099.999999999996,SELL,1688653921213
0.0001,30011.4,BUY,1688653921596
0.0001,30100.03,SELL,1688653982236
0.0001,29998.36,BUY,1688653982462
0.0001,30104.999999999996,SELL,1688654043058
0.0001,29956.23,BUY,1688654043289
0.0001,30080.44,SELL,1688654103632
0.0001,30048.04,BUY,1688654104001
0.0001,30059.989999999998,SELL,1688654164400
0.0001,30045.82,BUY,1688654164763
0.0001,30055.64,SELL,1688654244178
0.0001,30076.25,BUY,1688654244560
0.0001,29999.989999999998,SELL,1688654342236
0.0001,29880.36,BUY,1688654342609
0.0001,29999.989999999998,SELL,1688654461125
0.0001,29907.81,BUY,1688654461373
0.0001,30020.01,SELL,1688654521949
0.0001,30012.31,BUY,1688654522326
0.0001,30179.999999999996,SELL,1688655181786
0.0001,30065.19,BUY,1688655182352
0.0001,30179.999999999996,SELL,1688655242770
0.0001,30156.85,BUY,1688655243149
0.0001,30208.2,SELL,1688655303464
0.0001,30195.88,BUY,1688655303849
0.0001,30180.01,SELL,1688655364111
0.0001,30150.39,BUY,1688655364487
0.0001,30194.999999999996,SELL,1688655425239
0.0001,30182.34,BUY,1688655425758
0.0001,30215.0,BUY,1688655486265
0.0001,30304.44,SELL,1688655486640
0.0001,30254.87,BUY,1688655598199
0.0001,30271.03,SELL,1688655598559
0.0001,30218.79,SELL,1688655662281
0.0001,30229.87,BUY,1688655662643
0.0001,30152.528,SELL,1688655781548
0.0001,30090.69,BUY,1688655781924
0.0001,30175.019999999997,SELL,1688656441325
0.0001,30134.94,BUY,1688656441784
0.0001,30168.77,SELL,1688656502187
0.0001,30062.74,BUY,1688656502584
0.0001,30163.18,SELL,1688656641759
0.0001,30183.27,BUY,1688656642270
0.0001,30175.12,SELL,1688656702684
0.0001,30150.03,BUY,1688656703069
0.0001,30191.23,SELL,1688656763762
0.0001,30173.69,BUY,1688656764137
0.0001,30197.769999999997,SELL,1688656861167
0.0001,30189.24,BUY,1688656861779
0.0001,30246.019999999997,SELL,1688656981718
0.0001,30135.94,BUY,1688656982101
0.0001,30250.87,SELL,1688657042803
0.0001,30163.31,BUY,1688657043071
0.0001,30261.73,SELL,1688657103474
0.0001,30257.16,BUY,1688657104019
0.0001,30254.989999999998,BUY,1688657164771
0.0001,30243.08,SELL,1688657165155
0.0001,30224.6,SELL,1688657225676
0.0001,30210.55,BUY,1688657226054
0.0001,30230.100000000002,SELL,1688657286682
0.0001,30133.36,BUY,1688657287062
0.0001,30255.010000000002,SELL,1688657347577
0.0001,30194.97,BUY,1688657347959
0.0001,30273.789999999997,BUY,1688657408522
0.0001,30405.14,SELL,1688657408907
0.0001,30234.999999999996,BUY,1688657469124
0.0001,30289.61,SELL,1688657469518
0.0001,30230.01,SELL,1688657530095
0.0001,30180.48,BUY,1688657530602
0.0001,30248.14,SELL,1688657591181
0.0001,30211.7,BUY,1688657591568
0.0001,30281.699999999997,BUY,1688657658872
0.0001,30279.16,SELL,1688657659256
0.0001,30289.969999999998,BUY,1688657719901
0.0001,30333.52,SELL,1688657720157
0.0001,30294.75,BUY,1688657780728
0.0001,30335.11,SELL,1688657781105
0.0001,30335.109999999997,SELL,1688657841793
0.0001,30297.07,BUY,1688657842053
0.0001,30365.109999999997,SELL,1688657902477
0.0001,30250.32,BUY,1688657902733
0.0001,30375.009999999995,SELL,1688657962876
0.0001,30204.02,BUY,1688657963122
0.0001,30350.01,SELL,1688658023498
0.0001,30232.62,BUY,1688658023757
0.0001,30354.96,BUY,1688658083980
0.0001,30376.87,SELL,1688658084367
0.0001,30370.01,SELL,1688658144675
0.0001,30356.28,BUY,1688658144923
0.0001,30374.089999999997,SELL,1688658205351
0.0001,30242.84,BUY,1688658205742
0.0001,30404.6,SELL,1688658266163
0.0001,30361.65,BUY,1688658266411
0.0001,30396.07,SELL,1688658925846
0.0001,30369.52,BUY,1688658926289
0.0001,30399.989999999998,BUY,1688658986811
0.0001,30459.65,SELL,1688658987189
0.0001,30415.12,SELL,1688659047480
0.0001,30383.07,BUY,1688659047867
0.0001,30420.06,SELL,1688659108270
0.0001,30407.43,BUY,1688659108668
0.0001,30415.03,SELL,1688659169315
0.0001,30424.35,BUY,1688659169807
0.0001,30424.969999999998,BUY,1688659230025
0.0001,30443.71,SELL,1688659230410
0.0001,30409.98,BUY,1688659291111
0.0001,30472.44,SELL,1688659291741
0.0001,30415.0,SELL,1688659352361
0.0001,30428.47,BUY,1688659352735
0.0001,30400.03,SELL,1688659413332
0.0001,30419.01,BUY,1688659413697
0.0001,30420.05,SELL,1688659474350
0.0001,30409.54,BUY,1688659474847
0.0001,30420.061999999998,SELL,1688659535200
0.0001,30372.02,BUY,1688659535708
0.0001,30461.85,BUY,1688659596288
0.0001,30445.03,SELL,1688659657323
0.0001,30407.11,BUY,1688659657827
0.0001,30459.969999999998,BUY,1688659718219
0.0001,30446.34,SELL,1688659718592
0.0001,30420.05,SELL,1688659779022
0.0001,30381.88,BUY,1688659779514
0.0001,30420.159999999996,SELL,1688659840025
0.0001,30394.51,BUY,1688659840266
0.0001,30385.01,SELL,1688659900796
0.0001,30377.47,BUY,1688659901314
0.0001,30365.01,SELL,1688659961804
0.0001,30335.67,BUY,1688659962310
0.0001,30390.03,SELL,1688660022846
0.0001,30257.96,BUY,1688660023220
0.0001,30415.09,SELL,1688660083689
0.0001,30305.14,BUY,1688660084204
0.0001,30405.0,SELL,1688660144537
0.0001,30393.7,BUY,1688660144924
0.0001,30388.739999999998,SELL,1688660205746
0.0001,30328.23,BUY,1688660206125
0.0001,30392.54,SELL,1688660266508
0.0001,30280.28,BUY,1688660266750
0.0001,30409.429999999997,SELL,1688660327120
0.0001,30286.83,BUY,1688660327480
0.0001,30384.159999999996,SELL,1688660388063
0.0001,30395.82,BUY,1688660388437
0.0001,30360.757999999998,SELL,1688660449346
0.0001,30298.89,BUY,1688660449584
0.0001,30358.679999999997,SELL,1688660510268
0.0001,30197.19,BUY,1688660510657
