Quantity,Price,Side,Time
0.0001,30320.71,BUY,1688766162019
0.00013,30349.222307692307,BUY,1688766222068
0.00013,30388.28,SELL,1688766222436
0.00013,30371.13,BUY,1688766282667
0.00012,30354.999999999996,BUY,1688766343462
0.00012,30368.89,SELL,1688766343701
0.0001,30335.009999999995,SELL,1688766403876
0.0001,30304.85,BUY,1688766404234
0.00013,30367.480000000003,BUY,1688766464664
0.0001,30345.03,SELL,1688766525520
0.0001,30268.47,BUY,1688766525891
0.00012,30372.59,BUY,1688766586500
0.00012,30342.71,SELL,1688766586729
0.0001,30350.01,SELL,1688766647314
0.0001,30211.82,BUY,1688766647681
0.0001,30325.239999999998,SELL,1688766707858
0.0001,30240.69,BUY,1688766708088
0.00013,30339.99,BUY,1688766768198
0.00013,30378.24,SELL,1688766768458
0.00012,30339.989999999998,BUY,1688766828891
0.00012,30396.9,SELL,1688766829276
0.00012,30339.989999999998,BUY,1688766889815
0.00012,30395.55,SELL,1688766890244
0.00012,30339.95,BUY,1688766950916
0.00012,30329.92,BUY,1688767011831
0.00012,30366.67,SELL,1688767012225
0.00012,30324.989999999998,BUY,1688767072577
0.00012,30391.01,SELL,1688767072945
0.0001,30293.009999999995,SELL,1688767133487
0.0001,30293.86,BUY,1688767133744
0.00012,30306.576666666664,BUY,1688767194177
0.00012,30362.63,SELL,1688767194669
0.00012,30299.989999999998,BUY,1688767255150
0.00012,30303.31,SELL,1688767255429
0.0001,30295.010000000002,SELL,1688767315608
0.0001,30250.93,BUY,1688767316098
0.0001,30286.62,SELL,1688767376416
0.0001,30260.25,BUY,1688767376802
0.0001,30295.019999999997,SELL,1688767437261
0.0001,30297.81,BUY,1688767437774
0.0001,30300.46,SELL,1688767498179
0.0001,30299.3,BUY,1688767498564
0.0001,30296.37,SELL,1688767559428
0.0001,30251.18,BUY,1688767559683
0.0001,30296.8,SELL,1688767620171
0.0001,30293.91,BUY,1688767620557
0.00012,30319.82,BUY,1688767921130
0.00012,30308.25,SELL,1688767921722
0.00012,30329.969999999998,BUY,1688767982330
0.00012,30349.78,SELL,1688767982853
0.00012,30324.429999999997,BUY,1688768101127
0.00012,30357.95,SELL,1688768101647
0.00012,30334.48,BUY,1688768162153
0.00012,30347.34,SELL,1688768162420
0.00011,30334.99,BUY,1688768222964
0.00011,30363.24,SELL,1688768223246
0.00012,30344.99,BUY,1688768401947
0.00011,30334.97,BUY,1688768463072
0.00011,30324.809999999998,BUY,1688768523973
